Date,ONI,cocoa_price,coffee_price,gold_price,soybean_price,wheat_price,natural_gas_price,us_interest_rate,usd_index
2013-05-31,-0.3,2191.0,127.05000305175781,1392.5999755859375,1510.0,705.5,3.9839999675750732,0.029999999329447746,83.37999725341797
2013-06-30,-0.38,2194.0,120.0,1223.800048828125,1564.5,648.5,3.565000057220459,0.029999999329447746,83.16999816894531
2013-07-31,-0.45,2298.0,118.5999984741211,1312.4000244140625,1374.0,664.25,3.446000099182129,0.029999999329447746,81.44999694824219
2013-08-31,-0.34,2413.0,112.0999984741211,1396.0999755859375,1424.0,643.25,3.5810000896453857,0.019999999552965164,82.08999633789062
2013-10-31,-0.14,2677.0,105.4000015258789,1323.5999755859375,1280.25,667.5,3.5810000896453857,0.032999999821186066,80.19999694824219
2013-11-30,-0.12,2791.0,110.25,1250.5999755859375,1336.5,655.0,3.9539999961853027,0.054999999701976776,80.68000030517578
2014-01-31,-0.24,2911.0,125.19999694824219,1240.0999755859375,1282.75,555.75,4.942999839782715,0.009999999776482582,81.2699966430664
2014-02-28,-0.21,2935.0,179.8000030517578,1321.4000244140625,1414.25,599.0,4.609000205993652,0.0430000014603138,79.77999877929688
2014-03-31,-0.02,2955.0,177.89999389648438,1283.4000244140625,1464.0,697.25,4.370999813079834,0.02800000086426735,80.0999984741211
2014-04-30,0.25,2974.0,203.0500030517578,1295.5999755859375,1530.75,713.0,4.815000057220459,0.019999999552965164,79.48999786376953
2014-05-31,0.35,3071.0,177.5,1245.5999755859375,1493.25,627.25,4.541999816894531,0.029999999329447746,80.37000274658203
2014-07-31,0.07,3219.0,195.0500030517578,1281.300048828125,1224.5,530.25,3.8410000801086426,0.017999999225139618,81.45999908447266
2014-08-31,0.07,3219.0,195.75,1285.800048828125,1089.5,550.25,4.065000057220459,0.017999999225139618,82.75
2014-09-30,0.24,3300.0,193.35000610351562,1210.5,913.25,477.75,4.120999813079834,0.013000000268220901,85.94000244140625
2014-10-31,0.51,2899.0,188.0,1171.0999755859375,1046.5,532.5,3.872999906539917,0.003000000026077032,86.87999725341797
2014-11-30,0.7,2880.0,186.64999389648438,1175.199951171875,1016.0,577.25,4.0879998207092285,0.004999999888241291,88.36000061035156
2014-12-31,0.8,2910.0,166.60000610351562,1183.9000244140625,1019.25,589.75,2.8889999389648438,0.03700000047683716,90.2699966430664
2015-01-31,0.73,2693.0,161.89999389648438,1278.5,961.0,502.75,2.690999984741211,0.004999999888241291,94.80000305175781
2015-04-30,0.86,2943.0,136.5500030517578,1182.4000244140625,978.5,467.0,2.750999927520752,0.004999999888241291,94.5999984741211
2015-05-31,1.04,3085.0,126.1500015258789,1189.4000244140625,934.0,477.0,2.6419999599456787,0.003000000026077032,96.91000366210938
2015-06-30,1.19,3275.0,130.64999389648438,1171.5,1056.25,614.75,2.8320000171661377,0.009999999776482582,95.48999786376953
2015-07-31,1.44,3209.0,125.25,1094.9000244140625,980.75,499.25,2.7160000801086426,0.057999998331069946,97.37000274658203
2015-08-31,1.73,3102.0,120.55000305175781,1131.5999755859375,897.5,482.5,2.688999891281128,0.003000000026077032,95.94999694824219
2015-09-30,2.02,3114.0,121.3499984741211,1115.5,892.0,512.75,2.5239999294281006,0.004999999888241291,96.3499984741211
2015-10-31,2.28,3259.0,120.94999694824219,1141.5,883.75,522.0,2.321000099182129,0.06800000369548798,96.94999694824219
2015-12-31,2.59,3211.0,126.69999694824219,1060.300048828125,871.25,470.0,2.3369998931884766,0.14800000190734863,98.62999725341797
2016-01-31,2.5,2761.0,116.3499984741211,1116.4000244140625,882.25,479.25,2.2980000972747803,0.30000001192092896,99.61000061035156
2016-02-29,2.21,2949.0,112.6500015258789,1233.9000244140625,853.0,445.0,1.7109999656677246,0.30799999833106995,98.20999908447266
2016-03-31,1.69,2950.0,127.44999694824219,1234.199951171875,910.75,473.5,1.9589999914169312,0.19300000369548798,94.58999633789062
2016-04-30,1.11,3207.0,120.8499984741211,1289.199951171875,1021.0,478.0,2.177999973297119,0.19300000369548798,93.08000183105469
2016-06-30,0.09,3004.0,144.10000610351562,1318.4000244140625,1175.0,431.25,2.9240000247955322,0.24799999594688416,96.13999938964844
2016-07-31,-0.19,2835.0,146.1999969482422,1349.0,1032.5,407.75,2.875999927520752,0.23999999463558197,95.52999877929688
2016-08-31,-0.34,2921.0,145.89999389648438,1306.9000244140625,960.0,361.0,2.88700008392334,0.3199999928474426,96.0199966430664
2016-09-30,-0.42,2761.0,151.5500030517578,1313.300048828125,954.0,402.0,2.9059998989105225,0.25999999046325684,95.45999908447266
2016-10-31,-0.51,2735.0,164.14999389648438,1271.5,1002.25,416.25,3.0260000228881836,0.29499998688697815,98.44999694824219
2016-11-30,-0.49,2387.0,147.5,1170.800048828125,1032.25,380.5,3.3519999980926514,0.46799999475479126,101.5
2016-12-31,-0.37,2126.0,137.0500030517578,1150.0,996.5,408.0,3.7239999771118164,0.47999998927116394,102.38999938964844
2017-02-28,0.08,1943.0,140.6999969482422,1252.5999755859375,1025.0,424.75,2.7739999294281006,0.5230000019073486,101.12000274658203
2017-03-31,0.27,2095.0,139.3000030517578,1247.300048828125,946.0,426.5,3.190000057220459,0.7379999756813049,100.3499984741211
2017-04-30,0.32,1844.0,131.0500030517578,1266.0999755859375,945.25,418.5,3.2760000228881836,0.7799999713897705,99.05000305175781
2017-05-31,0.35,2048.0,129.35000610351562,1272.0,916.0,429.25,3.071000099182129,0.949999988079071,96.91999816894531
2017-06-30,0.32,1903.0,124.05000305175781,1240.699951171875,942.25,511.0,3.0350000858306885,0.9929999709129333,95.66000366210938
2017-07-31,0.14,2060.0,139.25,1266.5999755859375,994.5,474.5,2.7939999103546143,1.0529999732971191,92.86000061035156
2017-08-31,-0.07,1966.0,128.14999389648438,1316.199951171875,936.25,410.25,3.0399999618530273,0.9779999852180481,92.66999816894531
2017-09-30,-0.23,2043.0,128.0500030517578,1281.5,968.25,448.25,3.006999969482422,1.027999997138977,93.08000183105469
2017-11-30,-0.61,2048.0,126.30000305175781,1273.199951171875,985.75,409.25,3.0250000953674316,1.2380000352859497,93.01000213623047
2017-12-31,-0.76,1892.0,126.19999694824219,1306.300048828125,951.75,427.0,2.953000068664551,1.3550000190734863,92.12000274658203
2018-01-31,-0.71,1996.0,121.8499984741211,1339.0,995.75,451.75,2.994999885559082,1.4299999475479126,89.12999725341797
2018-02-28,-0.67,2240.0,121.05000305175781,1315.5,1045.0,484.5,2.6670000553131104,1.6180000305175781,90.61000061035156
2018-03-31,-0.55,2556.0,118.1500015258789,1322.800048828125,1044.75,451.0,2.7330000400543213,1.6699999570846558,89.97000122070312
2018-05-31,-0.07,2454.0,123.69999694824219,1300.0999755859375,1018.5,526.25,2.9519999027252197,1.8700000047683716,93.98999786376953
2018-06-30,0.13,2476.0,111.5,1251.300048828125,858.5,497.5,2.9240000247955322,1.8799999952316284,94.62999725341797
2018-08-31,0.3,2323.0,98.0999984741211,1200.300048828125,833.0,518.5,2.9159998893737793,2.055000066757202,95.13999938964844
2018-09-30,0.52,2057.0,102.44999694824219,1191.5,845.5,509.0,3.007999897003174,2.1500000953674316,95.19000244140625
2018-10-31,0.82,2234.0,112.69999694824219,1212.300048828125,839.0,500.5,3.260999917984009,2.2780001163482666,97.12999725341797
2018-11-30,1.04,2144.0,103.25,1220.199951171875,894.75,515.75,4.611999988555908,2.308000087738037,97.2699966430664
2018-12-31,1.05,2416.0,101.8499984741211,1278.300048828125,882.5,503.25,2.940000057220459,2.299999952316284,96.16999816894531
2019-01-31,0.99,2168.0,105.9000015258789,1319.699951171875,915.25,516.5,2.813999891281128,2.3399999141693115,95.58000183105469
